h_tract,jobs_2011,jobs_2023,change,pct_change
48029171920,0.0,19.0,19.0,
48141000403,1180.0,1197.0,17.0,1.4406779661016949
48325000302,0.0,17.0,17.0,
48303010512,0.0,17.0,17.0,
48029121912,0.0,16.0,16.0,
48099010603,0.0,16.0,16.0,
48135003002,0.0,15.0,15.0,
48029172006,0.0,15.0,15.0,
48389950200,43.0,58.0,15.0,34.883720930232556
48479001602,0.0,14.0,14.0,
48441013404,0.0,14.0,14.0,
48503950600,0.0,13.0,13.0,
48029172004,0.0,13.0,13.0,
48029191405,0.0,13.0,13.0,
48029171919,0.0,13.0,13.0,
48189950300,0.0,13.0,13.0,
48029121906,0.0,13.0,13.0,
48029171923,0.0,13.0,13.0,
48029171916,0.0,12.0,12.0,
48029181003,0.0,12.0,12.0,
48485013100,7.0,19.0,12.0,171.42857142857142
48029171927,0.0,12.0,12.0,
48029121504,0.0,12.0,12.0,
48029181711,0.0,12.0,12.0,
48163950301,0.0,12.0,12.0,
48029121802,0.0,12.0,12.0,
48479001711,0.0,12.0,12.0,
48441010100,0.0,12.0,12.0,
48329010119,0.0,11.0,11.0,
48201542902,0.0,11.0,11.0,
48141010102,101.0,112.0,11.0,10.891089108910892
48029121501,0.0,11.0,11.0,
48219950200,0.0,11.0,11.0,
48375015000,2.0,13.0,11.0,550.0
48479000901,0.0,11.0,11.0,
48371980000,2.0,13.0,11.0,550.0
48303010511,0.0,11.0,11.0,
48077030301,0.0,11.0,11.0,
48027020301,0.0,11.0,11.0,
48099010201,0.0,11.0,11.0,
48479001809,11.0,22.0,11.0,100.0
48323950206,0.0,11.0,11.0,
48027023204,0.0,11.0,11.0,
48029191406,0.0,10.0,10.0,
48485012402,0.0,10.0,10.0,
48479001727,2.0,12.0,10.0,500.0
48029131401,1.0,11.0,10.0,1000.0
48029121911,0.0,10.0,10.0,
48135003004,1.0,11.0,10.0,1000.0
48303010509,0.0,10.0,10.0,
48485012202,0.0,10.0,10.0,
48029181729,2.0,12.0,10.0,500.0
48445950400,0.0,10.0,10.0,
48265960403,1.0,11.0,10.0,1000.0
48099010501,0.0,10.0,10.0,
48029181716,0.0,10.0,10.0,
48497150405,0.0,10.0,10.0,
48463950202,0.0,10.0,10.0,
48219950400,0.0,10.0,10.0,
48027020201,0.0,10.0,10.0,
48171950402,1.0,10.0,9.0,900.0
48029172009,0.0,9.0,9.0,
48029181602,3.0,12.0,9.0,300.0
48283950302,0.0,9.0,9.0,
